workload,sut_report,sut_label,task_id,runtime
archeology,complete_R1,complete_R1,archeology-hard-1,201.0875
archeology,complete_R1,complete_R1,archeology-hard-2,112.2105
archeology,complete_R1,complete_R1,archeology-easy-3,37.1762
archeology,complete_R1,complete_R1,archeology-easy-4,50.7194
archeology,complete_R1,complete_R1,archeology-hard-5,204.2902
archeology,complete_R1,complete_R1,archeology-easy-6,51.5045
archeology,complete_R1,complete_R1,archeology-hard-7,44.0871
archeology,complete_R1,complete_R1,archeology-easy-8,105.3002
archeology,complete_R1,complete_R1,archeology-hard-9,191.3235
archeology,complete_R1,complete_R1,archeology-easy-10,36.1732
archeology,complete_R1,complete_R1,archeology-easy-11,90.7551
archeology,complete_R1,complete_R1,archeology-hard-12,188.4804
archeology,without_R1,without_R1,archeology-hard-1,139.7323
archeology,without_R1,without_R1,archeology-hard-2,82.5952
archeology,without_R1,without_R1,archeology-easy-3,45.1052
archeology,without_R1,without_R1,archeology-easy-4,150.7489
archeology,without_R1,without_R1,archeology-hard-5,161.3275
archeology,without_R1,without_R1,archeology-easy-6,22.7008
archeology,without_R1,without_R1,archeology-hard-7,69.7219
archeology,without_R1,without_R1,archeology-easy-8,130.2816
archeology,without_R1,without_R1,archeology-hard-9,289.7747
archeology,without_R1,without_R1,archeology-easy-10,42.6934
archeology,without_R1,without_R1,archeology-easy-11,86.4352
archeology,without_R1,without_R1,archeology-hard-12,290.4195
archeology,complete_R2,complete_R2,archeology-hard-1,250.831
archeology,complete_R2,complete_R2,archeology-hard-2,206.2178
archeology,complete_R2,complete_R2,archeology-easy-3,51.7434
archeology,complete_R2,complete_R2,archeology-easy-4,101.5459
archeology,complete_R2,complete_R2,archeology-hard-5,233.5281
archeology,complete_R2,complete_R2,archeology-easy-6,183.9849
archeology,complete_R2,complete_R2,archeology-hard-7,88.2643
archeology,complete_R2,complete_R2,archeology-easy-8,126.4637
archeology,complete_R2,complete_R2,archeology-hard-9,413.3824
archeology,complete_R2,complete_R2,archeology-easy-10,53.1442
archeology,complete_R2,complete_R2,archeology-easy-11,61.6336
archeology,complete_R2,complete_R2,archeology-hard-12,246.3883
archeology,without_R2,without_R2,archeology-hard-1,249.082
archeology,without_R2,without_R2,archeology-hard-2,505.9808
archeology,without_R2,without_R2,archeology-easy-3,157.3259
archeology,without_R2,without_R2,archeology-easy-4,111.3534
archeology,without_R2,without_R2,archeology-hard-5,256.8766
archeology,without_R2,without_R2,archeology-easy-6,54.4296
archeology,without_R2,without_R2,archeology-hard-7,62.2361
archeology,without_R2,without_R2,archeology-easy-8,147.6161
archeology,without_R2,without_R2,archeology-hard-9,196.3325
archeology,without_R2,without_R2,archeology-easy-10,31.1087
archeology,without_R2,without_R2,archeology-easy-11,91.0394
archeology,without_R2,without_R2,archeology-hard-12,248.2134
archeology,complete_R3,complete_R3,archeology-hard-1,272.5512
archeology,complete_R3,complete_R3,archeology-hard-2,109.8854
